2025/06/30 10:09:54 配置文件加载成功！
2025/06/30 10:09:54 数据库连接成功！
2025/06/30 10:09:54 数据库迁移成功！
2025/06/30 10:09:54 Redis 连接成功！
2025/06/30 10:09:54 WebSocket Hub 已启动
2025/06/30 10:09:54 🔧 后台 Worker 已启动，正在等待任务...
2025/06/30 10:09:54 ✅ WebSocket通知已启用
2025/06/30 10:11:05 📋 接收到新任务, 图片 ID: 1282
2025/07/01 08:55:03 ✅ 成功处理图片 (ID: 1408), 缩略图路径: uploads/thumbnails/thumb-20250701085503-mountain.png
2025/07/01 08:55:03 📋 接收到新任务, 图片 ID: 1409
2025/07/01 08:55:03 ✅ 成功处理图片 (ID: 1409), 缩略图路径: uploads/thumbnails/thumb-20250701085503-peppers.png
2025/07/01 08:55:04 📋 接收到新任务, 图片 ID: 1410
2025/07/01 08:55:04 ✅ 成功处理图片 (ID: 1410), 缩略图路径: uploads/thumbnails/thumb-20250701085504-pool.png
2025/07/01 08:55:04 📋 接收到新任务, 图片 ID: 1411
2025/07/01 08:55:04 错误: 解码图像 uploads/originals/20250701085504-sails.bmp 失败: image: unknown format
2025/07/01 08:55:04 ❌ 错误: 处理图片 (ID: 1411) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:04 📋 接收到新任务, 图片 ID: 1412
2025/07/01 08:55:04 ✅ 成功处理图片 (ID: 1412), 缩略图路径: uploads/thumbnails/thumb-20250701085504-sails.png
2025/07/01 08:55:04 📋 接收到新任务, 图片 ID: 1413
2025/07/01 08:55:04 ✅ 成功处理图片 (ID: 1413), 缩略图路径: uploads/thumbnails/thumb-20250701085504-serrano.png
2025/07/01 08:55:04 📋 接收到新任务, 图片 ID: 1414
2025/07/01 08:55:04 ✅ 成功处理图片 (ID: 1414), 缩略图路径: uploads/thumbnails/thumb-20250701085504-tulips.png
2025/07/01 08:55:05 📋 接收到新任务, 图片 ID: 1415
2025/07/01 08:55:05 ✅ 成功处理图片 (ID: 1415), 缩略图路径: uploads/thumbnails/thumb-20250701085505-watch.png
2025/07/01 08:55:05 📋 接收到新任务, 图片 ID: 1416
2025/07/01 08:55:05 ✅ 成功处理图片 (ID: 1416), 缩略图路径: uploads/thumbnails/thumb-20250701085505-zelda.png
2025/07/01 09:18:07 📋 接收到新任务, 图片 ID: 1417
2025/07/01 09:18:07 ✅ 成功处理图片 (ID: 1417), 缩略图路径: uploads/thumbnails/thumb-20250701091807-airplane.png
2025/07/01 09:18:07 📋 接收到新任务, 图片 ID: 1418
2025/07/01 09:18:07 ✅ 成功处理图片 (ID: 1418), 缩略图路径: uploads/thumbnails/thumb-20250701091807-arctichare.png
2025/07/01 09:18:08 📋 接收到新任务, 图片 ID: 1419
2025/07/01 09:18:08 ✅ 成功处理图片 (ID: 1419), 缩略图路径: uploads/thumbnails/thumb-20250701091808-baboon.png
2025/07/01 09:18:08 📋 接收到新任务, 图片 ID: 1420
2025/07/01 09:18:08 错误: 解码图像 uploads/originals/20250701091808-barbara.bmp 失败: image: unknown format
2025/07/01 09:18:08 ❌ 错误: 处理图片 (ID: 1420) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:08 📋 接收到新任务, 图片 ID: 1421
2025/07/01 09:18:08 ✅ 成功处理图片 (ID: 1421), 缩略图路径: uploads/thumbnails/thumb-20250701091808-barbara.png
2025/07/01 09:18:08 📋 接收到新任务, 图片 ID: 1422
2025/07/01 09:18:08 ✅ 成功处理图片 (ID: 1422), 缩略图路径: uploads/thumbnails/thumb-20250701091808-boat.png
2025/07/01 09:18:08 📋 接收到新任务, 图片 ID: 1423
2025/07/01 09:18:08 错误: 解码图像 uploads/originals/20250701091808-boy.bmp 失败: image: unknown format
2025/07/01 09:18:08 ❌ 错误: 处理图片 (ID: 1423) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:09 📋 接收到新任务, 图片 ID: 1424
2025/07/01 09:18:09 错误: 解码图像 uploads/originals/20250701091809-cameraman.tif 失败: image: unknown format
2025/07/01 09:18:09 ❌ 错误: 处理图片 (ID: 1424) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:09 📋 接收到新任务, 图片 ID: 1425
2025/07/01 09:18:09 ✅ 成功处理图片 (ID: 1425), 缩略图路径: uploads/thumbnails/thumb-20250701091809-cat.png
2025/07/01 09:18:10 📋 接收到新任务, 图片 ID: 1426
2025/07/01 09:18:10 ✅ 成功处理图片 (ID: 1426), 缩略图路径: uploads/thumbnails/thumb-20250701091810-fruits.png
2025/07/01 09:18:10 📋 接收到新任务, 图片 ID: 1427
2025/07/01 09:18:10 ✅ 成功处理图片 (ID: 1427), 缩略图路径: uploads/thumbnails/thumb-20250701091810-frymire.png
2025/07/01 09:18:10 📋 接收到新任务, 图片 ID: 1428
2025/07/01 09:18:10 ✅ 成功处理图片 (ID: 1428), 缩略图路径: uploads/thumbnails/thumb-20250701091810-girl.png
2025/07/01 09:18:11 📋 接收到新任务, 图片 ID: 1429
2025/07/01 09:18:11 错误: 解码图像 uploads/originals/20250701091811-goldhill.bmp 失败: image: unknown format
2025/07/01 09:18:11 ❌ 错误: 处理图片 (ID: 1429) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:11 📋 接收到新任务, 图片 ID: 1430
2025/07/01 09:18:11 ✅ 成功处理图片 (ID: 1430), 缩略图路径: uploads/thumbnails/thumb-20250701091811-goldhill.png
2025/07/01 09:18:11 📋 接收到新任务, 图片 ID: 1431
2025/07/01 09:18:11 错误: 解码图像 uploads/originals/20250701091811-lena.bmp 失败: image: unknown format
2025/07/01 09:18:11 ❌ 错误: 处理图片 (ID: 1431) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:11 📋 接收到新任务, 图片 ID: 1432
2025/07/01 09:18:12 ✅ 成功处理图片 (ID: 1432), 缩略图路径: uploads/thumbnails/thumb-20250701091812-lena.png
2025/07/01 09:18:12 📋 接收到新任务, 图片 ID: 1433
2025/07/01 09:18:12 ✅ 成功处理图片 (ID: 1433), 缩略图路径: uploads/thumbnails/thumb-20250701091812-monarch.png
2025/07/01 09:18:12 📋 接收到新任务, 图片 ID: 1434
2025/07/01 09:18:12 错误: 解码图像 uploads/originals/20250701091812-mountain.bmp 失败: image: unknown format
2025/07/01 09:18:12 ❌ 错误: 处理图片 (ID: 1434) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:12 📋 接收到新任务, 图片 ID: 1435
2025/07/01 09:18:12 ✅ 成功处理图片 (ID: 1435), 缩略图路径: uploads/thumbnails/thumb-20250701091812-mountain.png
2025/07/01 09:18:13 📋 接收到新任务, 图片 ID: 1436
2025/07/01 09:18:13 ✅ 成功处理图片 (ID: 1436), 缩略图路径: uploads/thumbnails/thumb-20250701091813-peppers.png
2025/07/01 09:18:13 📋 接收到新任务, 图片 ID: 1437
2025/07/01 09:18:13 ✅ 成功处理图片 (ID: 1437), 缩略图路径: uploads/thumbnails/thumb-20250701091813-pool.png
2025/07/01 09:18:13 📋 接收到新任务, 图片 ID: 1438
2025/07/01 09:18:13 错误: 解码图像 uploads/originals/20250701091813-sails.bmp 失败: image: unknown format
2025/07/01 09:18:13 ❌ 错误: 处理图片 (ID: 1438) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 09:18:14 📋 接收到新任务, 图片 ID: 1439
2025/07/01 09:18:14 ✅ 成功处理图片 (ID: 1439), 缩略图路径: uploads/thumbnails/thumb-20250701091814-sails.png
2025/07/01 09:18:15 📋 接收到新任务, 图片 ID: 1440
2025/07/01 09:18:15 ✅ 成功处理图片 (ID: 1440), 缩略图路径: uploads/thumbnails/thumb-20250701091815-serrano.png
2025/07/01 09:18:15 📋 接收到新任务, 图片 ID: 1441
2025/07/01 09:18:15 ✅ 成功处理图片 (ID: 1441), 缩略图路径: uploads/thumbnails/thumb-20250701091815-tulips.png
2025/07/01 09:18:15 📋 接收到新任务, 图片 ID: 1442
2025/07/01 09:18:15 ✅ 成功处理图片 (ID: 1442), 缩略图路径: uploads/thumbnails/thumb-20250701091815-watch.png
2025/07/01 09:18:15 📋 接收到新任务, 图片 ID: 1443
2025/07/01 09:18:15 ✅ 成功处理图片 (ID: 1443), 缩略图路径: uploads/thumbnails/thumb-20250701091815-zelda.png
2025/07/01 09:18:47 📋 接收到新任务, 图片 ID: 1444
2025/07/01 09:18:47 ✅ 成功处理图片 (ID: 1444), 缩略图路径: uploads/thumbnails/thumb-20250701091847-camera_1751332726902.jpg
